x;y
Robo Agravado;29.7
Robo Simple;27.1
homicidio Simple;12.2
Asesinato;7.4
Plagio o secuestro;5.6
lesiones Graves;4.4
lesiones Leves;3.8
homicidio Culposo;3.2
