x;y
Guatemala;53.3
Quetzaltenango;7.3
Escuintla;7.0
Sacatepéquez;4.0
Suchitepéquez;2.7
Petén;2.7
Santa Rosa;2.4
Chiquimula;2.2
Izabal;2.0
Chimaltenango;1.9
Jutiapa;1.9
Jalapa;1.8
Zacapa;1.6
Totonicapán;1.6
Huehuetenango;1.3
El Progreso;1.2
San Marcos;1.1
Retalhuelu;0.9
Quiché;0.8
Sololá;0.7
Baja Verapaz;0.7
Alta Verapaz;0.7
