x;y
Robo Agravado;23.9
Robo Simple;21.8
Lesiones Culposas;18.7
Lesiones Leves;11.9
Homicidio Simple;8.6
Lesiones Simples;5.5
Asesinato;5.4
Homicidio Culposo;4.3
