x;y
Promoción o estimulación a la drogadicción;25.6
Comercio, tráfico y almacenamiento ilícito;24.4
Posesión para el consumo;19.2
Promoción y fomento;11.5
Facilitación de medios;5.1
Asociaciones delictivas;5.1
Siembra y cultivo;5.1
Tránsito internacional;2.6
Encubrimiento personal;1.3
