x;y
Violencia contra la mujer;48578
Amenazas;45944
Robo;16132
Hurto;15352
Lesiones leves;14425
Robo agravado;11223
Hurto agravado;9189
Maltrato contra menores de edad;8882
Lesiones culposas;8024
Extorsión;5523
Violación;5486
Lesiones leves y amenazas;4437
Homicidio;4150
Otros;124550
