x;y
Guatemala;46.4
Escuintla;13.3
Quetzaltenango;5.2
Huehuetenango;3.5
Suchitepéquez;3.2
Sacatepéquez;3.1
Izabal;3.0
Chimaltenango;3.0
Alta Verapaz;2.7
Petén;2.3
Chiquimula;2.2
Santa Rosa;2.1
San Marcos;1.7
Retalhuleu;1.6
Quiché;1.4
Zacapa;1.4
Jutiapa;1.1
Baja Verapaz;0.7
Totonicapán;0.6
El Progreso;0.6
Solola;0.5
Jalapa;0.5
